YearMonth,Revenue,Units_Sold,Avg_Profit_Margin,On_Time_Rate,Stockout_Risk_Orders,Avg_Transportation_Cost
2023-01,1028831.89,3382,0.23950213903743317,0.5989304812834224,35,291.50010695187166
2023-02,1014404.12,3565,0.24795736842105262,0.5631578947368421,26,300.49797368421054
2023-03,1078802.85,4043,0.2420381818181818,0.5636363636363636,39,295.77404545454544
2023-04,959985.07,3548,0.2410103626943005,0.5440414507772021,25,301.59911917098447
2023-05,1417602.65,5126,0.25394067164179107,0.5895522388059702,35,293.38742537313436
2023-06,1143608.75,3939,0.2396639269406393,0.6073059360730594,30,290.3812557077626
2023-07,1087572.58,3938,0.24551435185185186,0.5370370370370371,30,292.90939814814817
2023-08,1198962.84,3838,0.24867641509433963,0.5943396226415094,36,290.5911320754717
2023-09,1397179.48,5087,0.2473888888888889,0.6,43,295.8953333333333
2023-10,1600201.64,5662,0.24149630872483224,0.5704697986577181,45,292.1168791946309
2023-11,2174194.06,7386,0.2448179292929293,0.5883838383838383,59,297.9384217171717
2023-12,1709891.44,6049,0.241360625,0.590625,57,294.50109375
2024-01,959950.23,3452,0.23099754901960784,0.49019607843137253,35,297.95379901960786
2024-02,852231.27,3323,0.24566228571428572,0.6057142857142858,24,304.60794285714286
2024-03,1325595.02,4683,0.24369209486166007,0.541501976284585,46,293.9275889328063
2024-04,1385458.29,4371,0.23765857740585772,0.5062761506276151,41,303.38774058577405
2024-05,1622946.88,5938,0.24530582524271843,0.5210355987055016,57,303.4608414239482
2024-06,1096692.02,3638,0.23910422535211268,0.5539906103286385,33,285.09352112676055
2024-07,1020613.21,3793,0.2488713615023474,0.5117370892018779,33,295.02985915492957
2024-08,1464344.4,5099,0.2646130909090909,0.5454545454545454,37,282.9593454545455
2024-09,1347934.69,4629,0.24776345381526105,0.5542168674698795,38,287.7346586345381
2024-10,1654024.92,5785,0.24935217391304346,0.5372670807453416,50,299.2096118012422
2024-11,1742795.01,5952,0.2429202416918429,0.5196374622356495,45,284.19826283987913
2024-12,1684166.4,5941,0.24998698412698414,0.5746031746031746,50,285.51506349206346
2025-01,917251.5,3136,0.25063954802259886,0.6384180790960452,30,277.1233898305085
2025-02,1151169.89,3774,0.24340689655172415,0.5221674876847291,30,306.3652955665025
2025-03,1332948.29,4566,0.23849791666666667,0.5333333333333333,30,292.09191666666663
2025-04,1347822.12,4672,0.2352630081300813,0.5691056910569106,43,303.9492682926829
2025-05,1446118.95,4800,0.2433859437751004,0.5903614457831325,35,284.0361847389558
2025-06,1228100.39,4069,0.24399279279279282,0.6216216216216216,41,300.6968243243244
2025-07,1297273.47,4670,0.2463329365079365,0.5277777777777778,39,294.10337301587305
2025-08,1056446.73,3609,0.25897064676616915,0.5870646766169154,29,296.88589552238807
2025-09,1283758.0,4753,0.25624309623430963,0.6150627615062761,46,295.40225941422597
2025-10,1612231.88,5759,0.23828875739644972,0.5414201183431953,50,278.4925
2025-11,1451965.78,4828,0.24930671641791044,0.5708955223880597,41,294.42860074626867
2025-12,1595494.79,5311,0.25098992805755393,0.6187050359712231,48,305.1545143884892
