country,product,date,price_wo_tax,price_with_tax,price_with_tax_lower80,price_with_tax_upper80,is_forecast
DE,diesel,2026-08-03,1135.687032182021,2116.912242266055,1992.862745178511,2180.570375004096,True
DE,diesel,2026-08-10,1132.1661204189932,2113.391330503027,1992.862745178511,2176.3472526632686,True
DE,diesel,2026-08-17,1129.0017106145801,2110.226920698614,1992.862745178511,2174.3302690655955,True
DE,diesel,2026-08-24,1131.2175246828208,2112.4427347668543,1992.862745178511,2174.3302690655955,True
DE,diesel,2026-08-31,1130.6779410862919,2111.9031511703256,1992.9186140803176,2174.3302690655955,True
DE,diesel,2026-09-07,1128.2480618952193,2109.473271979253,1991.3881100879732,2168.7384896935355,True
DE,diesel,2026-09-14,1125.287853496794,2106.5130635808277,1990.2273657734768,2168.7384896935355,True
DE,diesel,2026-09-21,1124.2473038743115,2105.472513958345,1989.4683257227916,2168.5793171963655,True
DE,diesel,2026-09-28,1123.143866152863,2104.3690762368965,1987.5414646259333,2168.378891976966,True
DE,diesel,2026-10-05,1116.6674989364546,2097.8927090204884,1987.7297535176074,2160.7105750474484,True
DE,diesel,2026-10-12,1116.0783402571383,2097.303550341172,1983.9304126660206,2160.9226463443874,True
DE,diesel,2026-10-19,1116.0783402571383,2097.303550341172,1981.7077230984414,2161.742703394195,True
FR,diesel,2026-08-03,1061.0128907005915,2029.9212240339248,1851.9648304015682,2044.52242903993,True
FR,diesel,2026-08-10,1052.9697146220228,2021.8780479553561,1851.9648304015682,2044.52242903993,True
FR,diesel,2026-08-17,1052.9697146220228,2021.8780479553561,1851.9648304015682,2044.52242903993,True
FR,diesel,2026-08-24,1050.379983060223,2019.2883163935562,1851.9648304015682,2043.7964052418047,True
FR,diesel,2026-08-31,1053.3533697287924,2022.2617030621254,1851.0979260302963,2043.5172202805365,True
FR,diesel,2026-09-07,991.4366433841728,1960.3449767175061,1773.9929799107326,2000.7107522951342,True
FR,diesel,2026-09-14,988.3874937433736,1957.2958270767067,1770.1921804226085,2000.7107522951342,True
FR,diesel,2026-09-21,989.9268506639247,1958.835183997258,1768.9536335596963,2000.3077821154038,True
FR,diesel,2026-09-28,989.9487801164095,1958.8571134497427,1770.4845161773515,2000.4084591590672,True
FR,diesel,2026-10-05,1046.4224275221143,2015.3307608554474,1812.8174001659586,2038.1782309640585,True
FR,diesel,2026-10-12,1049.5536878635853,2018.4620211969186,1812.8174001659586,2038.6864180492748,True
FR,diesel,2026-10-19,1049.5536878635853,2018.4620211969186,1811.9534426298178,2037.4796629580583,True
FR,heating_oil,2026-08-03,1130.5470160822072,1576.4003494155404,1459.089932388663,1650.2447551553123,True
FR,heating_oil,2026-08-10,1129.2229151877277,1575.076248521061,1459.089932388663,1650.2447551553123,True
FR,heating_oil,2026-08-17,1127.3432687727627,1573.196602106096,1459.089932388663,1646.0732651450874,True
FR,heating_oil,2026-08-24,1128.2935683565927,1574.146901689926,1459.089932388663,1643.7762730675247,True
FR,heating_oil,2026-08-31,1126.1146564815854,1571.9679898149186,1458.1820263762627,1643.498925818465,True
FR,heating_oil,2026-09-07,1125.985367555547,1571.8387008888803,1450.6000985360033,1614.1490449399682,True
FR,heating_oil,2026-09-14,1125.0967484300058,1570.950081763339,1450.6000985360033,1601.1278600116966,True
FR,heating_oil,2026-09-21,1119.5135323211991,1565.3668656545324,1450.6000985360033,1601.1278600116966,True
FR,heating_oil,2026-09-28,1117.2145284493197,1563.067861782653,1450.6000985360033,1599.0416217250715,True
FR,heating_oil,2026-10-05,1117.1171688642264,1562.9705021975597,1448.5257039288956,1629.9782308898175,True
FR,heating_oil,2026-10-12,1114.5975268741818,1560.450860207515,1448.5257039288956,1629.310911177228,True
FR,heating_oil,2026-10-19,1113.8503181272147,1559.703651460548,1445.6379471575628,1629.863099699353,True
IT,diesel,2026-08-03,1027.793617670687,2086.708863572326,1958.8309617716604,2142.510554241022,True
IT,diesel,2026-08-10,1027.793617670687,2086.708863572326,1958.8309617716604,2142.377926501568,True
IT,diesel,2026-08-17,1025.8026141852013,2084.7178600868406,1958.8309617716604,2142.0789437144203,True
IT,diesel,2026-08-24,1022.2882923162148,2081.203538217854,1958.8309617716604,2140.87545897757,True
IT,diesel,2026-08-31,1019.197118308997,2078.1123642106363,1958.8309617716604,2133.6986554439272,True
IT,diesel,2026-09-07,1017.0893514592724,2076.0045973609117,1957.4983178530983,2133.6986554439272,True
IT,diesel,2026-09-14,1009.1443460497565,2068.0595919513958,1953.725162525583,2133.0677524962834,True
IT,diesel,2026-09-21,1004.4927162972889,2063.407962198928,1952.9269757399452,2123.6466014370735,True
IT,diesel,2026-09-28,999.3491585243185,2058.2644044259578,1952.3279763337912,2124.0260384555895,True
IT,diesel,2026-10-05,1000.565904236726,2059.4811501383656,1952.2767360371968,2125.400894122835,True
IT,diesel,2026-10-12,999.0493088745721,2057.9645547762116,1950.1288171576857,2125.4249466721,True
IT,diesel,2026-10-19,999.0493088745721,2057.9645547762116,1950.1144419655743,2125.175713531584,True
IT,heating_oil,2026-08-03,1059.035359581445,1801.40601531915,1662.4725557841375,1839.4920806021432,True
IT,heating_oil,2026-08-10,1058.463939361073,1800.834595098778,1662.4725557841375,1839.4920806021432,True
IT,heating_oil,2026-08-17,1056.4798386158413,1798.8504943535463,1662.2159508610116,1831.5248296390005,True
IT,heating_oil,2026-08-24,1049.896428026861,1792.267083764566,1662.05722898785,1828.6138138435088,True
IT,heating_oil,2026-08-31,1046.9065905904286,1789.2772463281335,1659.6499036645946,1828.6138138435088,True
IT,heating_oil,2026-09-07,1051.575581891949,1793.946237629654,1658.0282130565097,1823.5986529332106,True
IT,heating_oil,2026-09-14,1041.7563461482507,1784.1270018859557,1658.0282130565097,1819.2401014509496,True
IT,heating_oil,2026-09-21,1036.1418709925697,1778.5125267302747,1656.6451510587062,1816.9249499285877,True
IT,heating_oil,2026-09-28,1033.1313471688702,1775.5020029065752,1656.6451510587062,1811.4362368616605,True
IT,heating_oil,2026-10-05,1026.3118349835609,1768.6824907212658,1659.0414420771776,1806.4079962935602,True
IT,heating_oil,2026-10-12,1024.547154845551,1766.917810583256,1655.7501437609262,1806.048461918621,True
IT,heating_oil,2026-10-19,1024.547154845551,1766.917810583256,1655.1705155794725,1806.587131052969,True
ES,diesel,2026-08-03,1126.9189348912028,1654.8249013953352,1523.9400456889994,1694.065988122524,True
